# Time (hours),Membrane Thickness (cm),Voltage (V),Voltage Check(V),Current Density (A/cm^2),Current Density Check(A/cm^2),Power (W),Power Check(W)
0.281281,0.007655,2.015802,2.015802,0.729530,0.729530,1000.000000,1000.000000
0.282282,0.007632,2.016243,2.016243,0.729370,0.729370,1000.000000,1000.000000
0.283283,0.007609,2.016686,2.016686,0.729210,0.729210,1000.000000,1000.000000
0.284284,0.007586,2.017129,2.017129,0.729050,0.729050,1000.000000,1000.000000
0.285285,0.007564,2.017574,2.017574,0.728889,0.728889,1000.000000,1000.000000
0.286286,0.007541,2.018020,2.018020,0.728728,0.728728,1000.000000,1000.000000
0.287287,0.007518,2.018467,2.018467,0.728567,0.728567,1000.000000,1000.000000
0.288288,0.007496,2.018915,2.018915,0.728405,0.728405,1000.000000,1000.000000
0.289289,0.007473,2.019364,2.019364,0.728243,0.728243,1000.000000,1000.000000
0.290290,0.007451,2.019815,2.019815,0.728081,0.728081,1000.000000,1000.000000
0.291291,0.007429,2.020266,2.020266,0.727918,0.727918,1000.000000,1000.000000
0.292292,0.007406,2.020719,2.020719,0.727755,0.727755,1000.000000,1000.000000
0.293293,0.007384,2.021173,2.021173,0.727591,0.727591,1000.000000,1000.000000
0.294294,0.007362,2.021629,2.021629,0.727428,0.727428,1000.000000,1000.000000
0.295295,0.007340,2.022085,2.022085,0.727263,0.727263,1000.000000,1000.000000
0.296296,0.007318,2.022543,2.022543,0.727099,0.727099,1000.000000,1000.000000
0.297297,0.007296,2.023001,2.023001,0.726934,0.726934,1000.000000,1000.000000
0.298298,0.007274,2.023461,2.023461,0.726769,0.726769,1000.000000,1000.000000
0.299299,0.007252,2.023922,2.023922,0.726603,0.726603,1000.000000,1000.000000
0.300300,0.007230,2.024385,2.024385,0.726437,0.726437,1000.000000,1000.000000
0.301301,0.007209,2.024848,2.024848,0.726271,0.726271,1000.000000,1000.000000
0.302302,0.007187,2.025313,2.025313,0.726104,0.726104,1000.000000,1000.000000
0.303303,0.007166,2.025779,2.025779,0.725937,0.725937,1000.000000,1000.000000
0.304304,0.007144,2.026246,2.026246,0.725770,0.725770,1000.000000,1000.000000
0.305305,0.007123,2.026715,2.026715,0.725602,0.725602,1000.000000,1000.000000
0.306306,0.007101,2.027184,2.027184,0.725434,0.725434,1000.000000,1000.000000
0.307307,0.007080,2.027655,2.027655,0.725265,0.725265,1000.000000,1000.000000
0.308308,0.007059,2.028127,2.028127,0.725097,0.725097,1000.000000,1000.000000
0.309309,0.007038,2.028600,2.028600,0.724927,0.724927,1000.000000,1000.000000
0.310310,0.007017,2.029075,2.029075,0.724758,0.724758,1000.000000,1000.000000
0.311311,0.006995,2.029551,2.029551,0.724588,0.724588,1000.000000,1000.000000
0.312312,0.006975,2.030028,2.030028,0.724418,0.724418,1000.000000,1000.000000
0.313313,0.006954,2.030506,2.030506,0.724247,0.724247,1000.000000,1000.000000
0.314314,0.006933,2.030985,2.030985,0.724076,0.724076,1000.000000,1000.000000
0.315315,0.006912,2.031466,2.031466,0.723905,0.723905,1000.000000,1000.000000
0.316316,0.006891,2.031948,2.031948,0.723733,0.723733,1000.000000,1000.000000
0.317317,0.006871,2.032431,2.032431,0.723561,0.723561,1000.000000,1000.000000
0.318318,0.006850,2.032915,2.032915,0.723389,0.723389,1000.000000,1000.000000
0.319319,0.006829,2.033401,2.033401,0.723216,0.723216,1000.000000,1000.000000
0.320320,0.006809,2.033888,2.033888,0.723043,0.723043,1000.000000,1000.000000
0.321321,0.006789,2.034376,2.034376,0.722869,0.722869,1000.000000,1000.000000
0.322322,0.006768,2.034865,2.034865,0.722696,0.722696,1000.000000,1000.000000
0.323323,0.006748,2.035356,2.035356,0.722521,0.722521,1000.000000,1000.000000
0.324324,0.006728,2.035848,2.035848,0.722347,0.722347,1000.000000,1000.000000
0.325325,0.006707,2.036341,2.036341,0.722172,0.722172,1000.000000,1000.000000
