# Time (hours),k1,k2,k3,final_time
635836,1.88637,0.12167,0.00176078,800000
636637,1.88637,0.12167,0.00176078,800000
637437,1.88637,0.12167,0.00176078,800000
638238,1.88637,0.12167,0.00176078,800000
639039,1.88637,0.12167,0.00176078,800000
639840,1.88637,0.12167,0.00176078,800000
640641,1.88637,0.12167,0.00176078,800000
641441,1.88637,0.12167,0.00176078,800000
642242,1.88637,0.12167,0.00176078,800000
643043,1.88637,0.12167,0.00176078,800000
643844,1.88637,0.12167,0.00176078,800000
644645,1.88637,0.12167,0.00176078,800000
645445,1.88637,0.12167,0.00176078,800000
646246,1.88637,0.12167,0.00176078,800000
647047,1.88637,0.12167,0.00176078,800000
647848,1.88637,0.12167,0.00176078,800000
648649,1.88637,0.12167,0.00176078,800000
649449,1.88637,0.12167,0.00176078,800000
650250,1.88637,0.12167,0.00176078,800000
651051,1.88637,0.12167,0.00176078,800000
651852,1.88637,0.12167,0.00176078,800000
652653,1.88637,0.12167,0.00176078,800000
653453,1.88637,0.12167,0.00176078,800000
654254,1.88637,0.12167,0.00176078,800000
655055,1.88637,0.12167,0.00176078,800000
655856,1.88637,0.12167,0.00176078,800000
656657,1.88637,0.12167,0.00176078,800000
657457,1.88637,0.12167,0.00176078,800000
658258,1.88637,0.12167,0.00176078,800000
659059,1.88637,0.12167,0.00176078,800000
659860,1.88637,0.12167,0.00176078,800000
660661,1.88637,0.12167,0.00176078,800000
661461,1.88637,0.12167,0.00176078,800000
662262,1.88637,0.12167,0.00176078,800000
663063,1.88637,0.12167,0.00176078,800000
663864,1.88637,0.12167,0.00176078,800000
664665,1.88637,0.12167,0.00176078,800000
665465,1.88637,0.12167,0.00176078,800000
666266,1.88637,0.12167,0.00176078,800000
667067,1.88637,0.12167,0.00176078,800000
667868,1.88637,0.12167,0.00176078,800000
668669,1.88637,0.12167,0.00176078,800000
669469,1.88637,0.12167,0.00176078,800000
670270,1.88637,0.12167,0.00176078,800000
671071,1.88637,0.12167,0.00176078,800000
671872,1.88637,0.12167,0.00176078,800000
672673,1.88637,0.12167,0.00176078,800000
673473,1.88637,0.12167,0.00176078,800000
674274,1.88637,0.12167,0.00176078,800000
675075,1.88637,0.12167,0.00176078,800000
675876,1.88637,0.12167,0.00176078,800000
676677,1.88637,0.12167,0.00176078,800000
677477,1.88637,0.12167,0.00176078,800000
678278,1.88637,0.12167,0.00176078,800000
679079,1.88637,0.12167,0.00176078,800000
679880,1.88637,0.12167,0.00176078,800000
680681,1.88637,0.12167,0.00176078,800000
681481,1.88637,0.12167,0.00176078,800000
682282,1.88637,0.12167,0.00176078,800000
683083,1.88637,0.12167,0.00176078,800000
683884,1.88637,0.12167,0.00176078,800000
684685,1.88637,0.12167,0.00176078,800000
685485,1.88637,0.12167,0.00176078,800000
686286,1.88637,0.12167,0.00176078,800000
687087,1.88637,0.12167,0.00176078,800000
687888,1.88637,0.12167,0.00176078,800000
688689,1.88637,0.12167,0.00176078,800000
689489,1.88637,0.12167,0.00176078,800000
690290,1.88637,0.12167,0.00176078,800000
691091,1.88637,0.12167,0.00176078,800000
691892,1.88637,0.12167,0.00176078,800000
692693,1.88637,0.12167,0.00176078,800000
693493,1.88637,0.12167,0.00176078,800000
694294,1.88637,0.12167,0.00176078,800000
695095,1.88637,0.12167,0.00176078,800000
695896,1.88637,0.12167,0.00176078,800000
696697,1.88637,0.12167,0.00176078,800000
697497,1.88637,0.12167,0.00176078,800000
698298,1.88637,0.12167,0.00176078,800000
699099,1.88637,0.12167,0.00176078,800000
