# Time (hours),k1,k2,k3
0.374374,1.886367,0.121670,0.001761
0.375375,1.886367,0.121670,0.001761
0.376376,1.886367,0.121670,0.001761
0.377377,1.886367,0.121670,0.001761
0.378378,1.886367,0.121670,0.001761
0.379379,1.886367,0.121670,0.001761
0.380380,1.886367,0.121670,0.001761
0.381381,1.886367,0.121670,0.001761
0.382382,1.886367,0.121670,0.001761
0.383383,1.886367,0.121670,0.001761
0.384384,1.886367,0.121670,0.001761
0.385385,1.886367,0.121670,0.001761
0.386386,1.886367,0.121670,0.001761
0.387387,1.886367,0.121670,0.001761
0.388388,1.886367,0.121670,0.001761
0.389389,1.886367,0.121670,0.001761
0.390390,1.886367,0.121670,0.001761
0.391391,1.886367,0.121670,0.001761
0.392392,1.886367,0.121670,0.001761
0.393393,1.886367,0.121670,0.001761
0.394394,1.886367,0.121670,0.001761
0.395395,1.886367,0.121670,0.001761
0.396396,1.886367,0.121670,0.001761
0.397397,1.886367,0.121670,0.001761
0.398398,1.886367,0.121670,0.001761
0.399399,1.886367,0.121670,0.001761
0.400400,1.886367,0.121670,0.001761
0.401401,1.886367,0.121670,0.001761
0.402402,1.886367,0.121670,0.001761
0.403403,1.886367,0.121670,0.001761
0.404404,1.886367,0.121670,0.001761
0.405405,1.886367,0.121670,0.001761
0.406406,1.886367,0.121670,0.001761
0.407407,1.886367,0.121670,0.001761
0.408408,1.886367,0.121670,0.001761
0.409409,1.886367,0.121670,0.001761
0.410410,1.886367,0.121670,0.001761
0.411411,1.886367,0.121670,0.001761
0.412412,1.886367,0.121670,0.001761
0.413413,1.886367,0.121670,0.001761
0.414414,1.886367,0.121670,0.001761
0.415415,1.886367,0.121670,0.001761
0.416416,1.886367,0.121670,0.001761
0.417417,1.886367,0.121670,0.001761
0.418418,1.886367,0.121670,0.001761
0.419419,1.886367,0.121670,0.001761
0.420420,1.886367,0.121670,0.001761
0.421421,1.886367,0.121670,0.001761
0.422422,1.886367,0.121670,0.001761
0.423423,1.886367,0.121670,0.001761
0.424424,1.886367,0.121670,0.001761
0.425425,1.886367,0.121670,0.001761
0.426426,1.886367,0.121670,0.001761
0.427427,1.886367,0.121670,0.001761
0.428428,1.886367,0.121670,0.001761
0.429429,1.886367,0.121670,0.001761
0.430430,1.886367,0.121670,0.001761
0.431431,1.886367,0.121670,0.001761
0.432432,1.886367,0.121670,0.001761
0.433433,1.886367,0.121670,0.001761
0.434434,1.886367,0.121670,0.001761
0.435435,1.886367,0.121670,0.001761
0.436436,1.886367,0.121670,0.001761
0.437437,1.886367,0.121670,0.001761
0.438438,1.886367,0.121670,0.001761
0.439439,1.886367,0.121670,0.001761
0.440440,1.886367,0.121670,0.001761
0.441441,1.886367,0.121670,0.001761
0.442442,1.886367,0.121670,0.001761
0.443443,1.886367,0.121670,0.001761
0.444444,1.886367,0.121670,0.001761
0.445445,1.886367,0.121670,0.001761
0.446446,1.886367,0.121670,0.001761
0.447447,1.886367,0.121670,0.001761
0.448448,1.886367,0.121670,0.001761
0.449449,1.886367,0.121670,0.001761
0.450450,1.886367,0.121670,0.001761
0.451451,1.886367,0.121670,0.001761
0.452452,1.886367,0.121670,0.001761
0.453453,1.886367,0.121670,0.001761
0.454454,1.886367,0.121670,0.001761
0.455455,1.886367,0.121670,0.001761
0.456456,1.886367,0.121670,0.001761
0.457457,1.886367,0.121670,0.001761
0.458458,1.886367,0.121670,0.001761
0.459459,1.886367,0.121670,0.001761
0.460460,1.886367,0.121670,0.001761
0.461461,1.886367,0.121670,0.001761
0.462462,1.886367,0.121670,0.001761
0.463463,1.886367,0.121670,0.001761
0.464464,1.886367,0.121670,0.001761
0.465465,1.886367,0.121670,0.001761
0.466466,1.886367,0.121670,0.001761
0.467467,1.886367,0.121670,0.001761
0.468468,1.886367,0.121670,0.001761
0.469469,1.886367,0.121670,0.001761
0.470470,1.886367,0.121670,0.001761
0.471471,1.886367,0.121670,0.001761
0.472472,1.886367,0.121670,0.001761
0.473473,1.886367,0.121670,0.001761
0.474474,1.886367,0.121670,0.001761
0.475475,1.886367,0.121670,0.001761
0.476476,1.886367,0.121670,0.001761
0.477477,1.886367,0.121670,0.001761
0.478478,1.886367,0.121670,0.001761
0.479479,1.886367,0.121670,0.001761
0.480480,1.886367,0.121670,0.001761
0.481481,1.886367,0.121670,0.001761
0.482482,1.886367,0.121670,0.001761
0.483483,1.886367,0.121670,0.001761
0.484484,1.886367,0.121670,0.001761
0.485485,1.886367,0.121670,0.001761
0.486486,1.886367,0.121670,0.001761
0.487487,1.886367,0.121670,0.001761
0.488488,1.886367,0.121670,0.001761
0.489489,1.886367,0.121670,0.001761
0.490490,1.886367,0.121670,0.001761
0.491491,1.886367,0.121670,0.001761
0.492492,1.886367,0.121670,0.001761
0.493493,1.886367,0.121670,0.001761
0.494494,1.886367,0.121670,0.001761
0.495495,1.886367,0.121670,0.001761
0.496496,1.886367,0.121670,0.001761
0.497497,1.886367,0.121670,0.001761
0.498498,1.886367,0.121670,0.001761
0.499499,1.886367,0.121670,0.001761
0.500501,1.886367,0.121670,0.001761
0.501502,1.886367,0.121670,0.001761
0.502503,1.886367,0.121670,0.001761
0.503504,1.886367,0.121670,0.001761
0.504505,1.886367,0.121670,0.001761
0.505506,1.886367,0.121670,0.001761
0.506507,1.886367,0.121670,0.001761
0.507508,1.886367,0.121670,0.001761
0.508509,1.886367,0.121670,0.001761
0.509510,1.886367,0.121670,0.001761
0.510511,1.886367,0.121670,0.001761
0.511512,1.886367,0.121670,0.001761
0.512513,1.886367,0.121670,0.001761
0.513514,1.886367,0.121670,0.001761
0.514515,1.886367,0.121670,0.001761
0.515516,1.886367,0.121670,0.001761
0.516517,1.886367,0.121670,0.001761
0.517518,1.886367,0.121670,0.001761
0.518519,1.886367,0.121670,0.001761
0.519520,1.886367,0.121670,0.001761
0.520521,1.886367,0.121670,0.001761
0.521522,1.886367,0.121670,0.001761
0.522523,1.886367,0.121670,0.001761
0.523524,1.886367,0.121670,0.001761
0.524525,1.886367,0.121670,0.001761
0.525526,1.886367,0.121670,0.001761
0.526527,1.886367,0.121670,0.001761
0.527528,1.886367,0.121670,0.001761
0.528529,1.886367,0.121670,0.001761
0.529530,1.886367,0.121670,0.001761
0.530531,1.886367,0.121670,0.001761
0.531532,1.886367,0.121670,0.001761
0.532533,1.886367,0.121670,0.001761
0.533534,1.886367,0.121670,0.001761
0.534535,1.886367,0.121670,0.001761
0.535536,1.886367,0.121670,0.001761
0.536537,1.886367,0.121670,0.001761
0.537538,1.886367,0.121670,0.001761
0.538539,1.886367,0.121670,0.001761
0.539540,1.886367,0.121670,0.001761
0.540541,1.886367,0.121670,0.001761
0.541542,1.886367,0.121670,0.001761
0.542543,1.886367,0.121670,0.001761
0.543544,1.886367,0.121670,0.001761
0.544545,1.886367,0.121670,0.001761
0.545546,1.886367,0.121670,0.001761
0.546547,1.886367,0.121670,0.001761
0.547548,1.886367,0.121670,0.001761
0.548549,1.886367,0.121670,0.001761
0.549550,1.886367,0.121670,0.001761
0.550551,1.886367,0.121670,0.001761
0.551552,1.886367,0.121670,0.001761
0.552553,1.886367,0.121670,0.001761
0.553554,1.886367,0.121670,0.001761
0.554555,1.886367,0.121670,0.001761
0.555556,1.886367,0.121670,0.001761
0.556557,1.886367,0.121670,0.001761
0.557558,1.886367,0.121670,0.001761
0.558559,1.886367,0.121670,0.001761
0.559560,1.886367,0.121670,0.001761
0.560561,1.886367,0.121670,0.001761
0.561562,1.886367,0.121670,0.001761
0.562563,1.886367,0.121670,0.001761
0.563564,1.886367,0.121670,0.001761
0.564565,1.886367,0.121670,0.001761
0.565566,1.886367,0.121670,0.001761
0.566567,1.886367,0.121670,0.001761
0.567568,1.886367,0.121670,0.001761
0.568569,1.886367,0.121670,0.001761
0.569570,1.886367,0.121670,0.001761
0.570571,1.886367,0.121670,0.001761
0.571572,1.886367,0.121670,0.001761
0.572573,1.886367,0.121670,0.001761
0.573574,1.886367,0.121670,0.001761
0.574575,1.886367,0.121670,0.001761
0.575576,1.886367,0.121670,0.001761
0.576577,1.886367,0.121670,0.001761
0.577578,1.886367,0.121670,0.001761
0.578579,1.886367,0.121670,0.001761
0.579580,1.886367,0.121670,0.001761
0.580581,1.886367,0.121670,0.001761
0.581582,1.886367,0.121670,0.001761
0.582583,1.886367,0.121670,0.001761
0.583584,1.886367,0.121670,0.001761
0.584585,1.886367,0.121670,0.001761
0.585586,1.886367,0.121670,0.001761
0.586587,1.886367,0.121670,0.001761
0.587588,1.886367,0.121670,0.001761
0.588589,1.886367,0.121670,0.001761
0.589590,1.886367,0.121670,0.001761
0.590591,1.886367,0.121670,0.001761
0.591592,1.886367,0.121670,0.001761
0.592593,1.886367,0.121670,0.001761
0.593594,1.886367,0.121670,0.001761
0.594595,1.886367,0.121670,0.001761
0.595596,1.886367,0.121670,0.001761
0.596597,1.886367,0.121670,0.001761
0.597598,1.886367,0.121670,0.001761
0.598599,1.886367,0.121670,0.001761
0.599600,1.886367,0.121670,0.001761
0.600601,1.886367,0.121670,0.001761
0.601602,1.886367,0.121670,0.001761
0.602603,1.886367,0.121670,0.001761
0.603604,1.886367,0.121670,0.001761
0.604605,1.886367,0.121670,0.001761
0.605606,1.886367,0.121670,0.001761
0.606607,1.886367,0.121670,0.001761
0.607608,1.886367,0.121670,0.001761
0.608609,1.886367,0.121670,0.001761
0.609610,1.886367,0.121670,0.001761
0.610611,1.886367,0.121670,0.001761
0.611612,1.886367,0.121670,0.001761
0.612613,1.886367,0.121670,0.001761
0.613614,1.886367,0.121670,0.001761
0.614615,1.886367,0.121670,0.001761
0.615616,1.886367,0.121670,0.001761
0.616617,1.886367,0.121670,0.001761
0.617618,1.886367,0.121670,0.001761
0.618619,1.886367,0.121670,0.001761
0.619620,1.886367,0.121670,0.001761
0.620621,1.886367,0.121670,0.001761
0.621622,1.886367,0.121670,0.001761
0.622623,1.886367,0.121670,0.001761
0.623624,1.886367,0.121670,0.001761
0.624625,1.886367,0.121670,0.001761
0.625626,1.886367,0.121670,0.001761
0.626627,1.886367,0.121670,0.001761
0.627628,1.886367,0.121670,0.001761
0.628629,1.886367,0.121670,0.001761
0.629630,1.886367,0.121670,0.001761
0.630631,1.886367,0.121670,0.001761
0.631632,1.886367,0.121670,0.001761
0.632633,1.886367,0.121670,0.001761
0.633634,1.886367,0.121670,0.001761
0.634635,1.886367,0.121670,0.001761
0.635636,1.886367,0.121670,0.001761
0.636637,1.886367,0.121670,0.001761
0.637638,1.886367,0.121670,0.001761
0.638639,1.886367,0.121670,0.001761
0.639640,1.886367,0.121670,0.001761
0.640641,1.886367,0.121670,0.001761
0.641642,1.886367,0.121670,0.001761
0.642643,1.886367,0.121670,0.001761
0.643644,1.886367,0.121670,0.001761
0.644645,1.886367,0.121670,0.001761
0.645646,1.886367,0.121670,0.001761
0.646647,1.886367,0.121670,0.001761
0.647648,1.886367,0.121670,0.001761
0.648649,1.886367,0.121670,0.001761
0.649650,1.886367,0.121670,0.001761
0.650651,1.886367,0.121670,0.001761
0.651652,1.886367,0.121670,0.001761
0.652653,1.886367,0.121670,0.001761
0.653654,1.886367,0.121670,0.001761
