# Time (hours),Membrane Thickness (cm),Voltage (V),Voltage Check(V),Current Density (A/cm^2),Current Density Check(A/cm^2),Power (W),Power Check(W)
0.288288,0.014917,1.941928,1.941928,0.757283,0.757283,1000.000000,1000.000000
0.289289,0.014907,1.941982,1.941982,0.757262,0.757262,1000.000000,1000.000000
0.290290,0.014897,1.942036,1.942036,0.757240,0.757240,1000.000000,1000.000000
0.291291,0.014887,1.942090,1.942090,0.757219,0.757219,1000.000000,1000.000000
0.292292,0.014877,1.942145,1.942145,0.757198,0.757198,1000.000000,1000.000000
0.293293,0.014867,1.942199,1.942199,0.757177,0.757177,1000.000000,1000.000000
0.294294,0.014857,1.942254,1.942254,0.757156,0.757156,1000.000000,1000.000000
0.295295,0.014847,1.942308,1.942308,0.757134,0.757134,1000.000000,1000.000000
0.296296,0.014837,1.942363,1.942363,0.757113,0.757113,1000.000000,1000.000000
0.297297,0.014827,1.942417,1.942417,0.757092,0.757092,1000.000000,1000.000000
0.298298,0.014817,1.942472,1.942472,0.757070,0.757070,1000.000000,1000.000000
0.299299,0.014807,1.942527,1.942527,0.757049,0.757049,1000.000000,1000.000000
0.300300,0.014797,1.942582,1.942582,0.757028,0.757028,1000.000000,1000.000000
0.301301,0.014787,1.942637,1.942637,0.757006,0.757006,1000.000000,1000.000000
0.302302,0.014777,1.942692,1.942692,0.756985,0.756985,1000.000000,1000.000000
0.303303,0.014767,1.942747,1.942747,0.756963,0.756963,1000.000000,1000.000000
0.304304,0.014757,1.942802,1.942802,0.756942,0.756942,1000.000000,1000.000000
0.305305,0.014747,1.942858,1.942858,0.756920,0.756920,1000.000000,1000.000000
0.306306,0.014737,1.942913,1.942913,0.756899,0.756899,1000.000000,1000.000000
0.307307,0.014727,1.942968,1.942968,0.756877,0.756877,1000.000000,1000.000000
0.308308,0.014717,1.943024,1.943024,0.756855,0.756855,1000.000000,1000.000000
0.309309,0.014707,1.943079,1.943079,0.756834,0.756834,1000.000000,1000.000000
0.310310,0.014697,1.943135,1.943135,0.756812,0.756812,1000.000000,1000.000000
0.311311,0.014687,1.943191,1.943191,0.756790,0.756790,1000.000000,1000.000000
0.312312,0.014677,1.943247,1.943247,0.756769,0.756769,1000.000000,1000.000000
0.313313,0.014667,1.943302,1.943302,0.756747,0.756747,1000.000000,1000.000000
0.314314,0.014657,1.943358,1.943358,0.756725,0.756725,1000.000000,1000.000000
0.315315,0.014647,1.943414,1.943414,0.756703,0.756703,1000.000000,1000.000000
0.316316,0.014637,1.943470,1.943470,0.756682,0.756682,1000.000000,1000.000000
0.317317,0.014627,1.943527,1.943527,0.756660,0.756660,1000.000000,1000.000000
0.318318,0.014617,1.943583,1.943583,0.756638,0.756638,1000.000000,1000.000000
0.319319,0.014607,1.943639,1.943639,0.756616,0.756616,1000.000000,1000.000000
0.320320,0.014597,1.943695,1.943695,0.756594,0.756594,1000.000000,1000.000000
0.321321,0.014587,1.943752,1.943752,0.756572,0.756572,1000.000000,1000.000000
0.322322,0.014577,1.943808,1.943808,0.756550,0.756550,1000.000000,1000.000000
0.323323,0.014567,1.943865,1.943865,0.756528,0.756528,1000.000000,1000.000000
0.324324,0.014557,1.943922,1.943922,0.756506,0.756506,1000.000000,1000.000000
0.325325,0.014547,1.943978,1.943978,0.756484,0.756484,1000.000000,1000.000000
